###
console output
2024-04-30 17:30:06.950645
###
 
 reading from starter.ss
 reading from data file
Data read successful 999

 reading forecast file 
 reading from control file
End of control file successful! 999
Begin setting up parameters ...  end of parameter section 
Evaluating biology calculations once ... done
Starting optimization of 'ss3' in phase 1 of 5 at Tue Apr 30 17:10:33 2024
phase= 4 | nvar= 50 | iter=2560 | nll=6.66e+02 | mag=2.80e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=2580 | nll=6.66e+02 | mag=6.01e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=2600 | nll=6.66e+02 | mag=5.09e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=2620 | nll=6.66e+02 | mag=5.33e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=2640 | nll=6.66e+02 | mag=9.81e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=2660 | nll=6.66e+02 | mag=4.16e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=2680 | nll=6.66e+02 | mag=1.30e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=2700 | nll=6.66e+02 | mag=8.75e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=2720 | nll=6.66e+02 | mag=4.91e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=2740 | nll=6.66e+02 | mag=5.39e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=2760 | nll=6.65e+02 | mag=2.66e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=2780 | nll=6.65e+02 | mag=6.22e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=2800 | nll=6.65e+02 | mag=9.18e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=2820 | nll=6.65e+02 | mag=6.06e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=2840 | nll=6.65e+02 | mag=7.63e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=2860 | nll=6.65e+02 | mag=7.42e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=2880 | nll=6.65e+02 | mag=3.64e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=2900 | nll=6.65e+02 | mag=7.42e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=2920 | nll=6.65e+02 | mag=1.71e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=2940 | nll=6.65e+02 | mag=5.65e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=2960 | nll=6.65e+02 | mag=4.69e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=2980 | nll=6.65e+02 | mag=5.68e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=3000 | nll=6.65e+02 | mag=6.20e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=3020 | nll=6.65e+02 | mag=5.60e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=3040 | nll=6.65e+02 | mag=9.48e+04 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=3060 | nll=6.65e+02 | mag=4.12e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=3080 | nll=6.65e+02 | mag=7.65e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=3100 | nll=6.65e+02 | mag=3.21e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=3120 | nll=6.65e+02 | mag=2.78e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=3140 | nll=6.65e+02 | mag=2.54e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=3160 | nll=6.65e+02 | mag=1.45e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=3180 | nll=6.65e+02 | mag=3.53e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=3200 | nll=6.65e+02 | mag=4.31e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=3220 | nll=6.65e+02 | mag=5.87e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=3240 | nll=6.65e+02 | mag=4.63e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=3260 | nll=6.65e+02 | mag=1.79e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=3280 | nll=6.65e+02 | mag=6.95e+04 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=3300 | nll=6.65e+02 | mag=2.06e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=3320 | nll=6.65e+02 | mag=2.40e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=3340 | nll=6.65e+02 | mag=3.57e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=3360 | nll=6.65e+02 | mag=1.03e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=3380 | nll=6.65e+02 | mag=2.18e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=3400 | nll=6.65e+02 | mag=2.06e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=3420 | nll=6.65e+02 | mag=5.87e+04 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=3440 | nll=6.65e+02 | mag=9.65e+04 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=3460 | nll=6.65e+02 | mag=2.04e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=3480 | nll=6.65e+02 | mag=7.70e+04 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=3500 | nll=6.65e+02 | mag=2.96e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=3520 | nll=6.65e+02 | mag=4.19e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=3540 | nll=6.65e+02 | mag=9.11e+04 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=3560 | nll=6.65e+02 | mag=1.57e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=3580 | nll=6.65e+02 | mag=1.67e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=3600 | nll=6.65e+02 | mag=8.39e+04 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=3620 | nll=6.65e+02 | mag=1.27e+04 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=3640 | nll=6.65e+02 | mag=1.12e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=3660 | nll=6.65e+02 | mag=7.19e+04 | par[  6]=SR_parm[1]
