"model","em","iteration","model_converged","model_runtime","model_name"
"Hake_2018","recdev_1","iteration_4","FALSE","1.05651891628901","Hake_2018-em_recdev_1-iteration_4"
"Hake_2018","recdev_1","iteration_5","FALSE","1.32937815189362","Hake_2018-em_recdev_1-iteration_5"
"Hake_2018","recdev_1","iteration_6","FALSE","1.08694488604863","Hake_2018-em_recdev_1-iteration_6"
"Hake_2018","recdev_1","iteration_7","FALSE","1.19670471747716","Hake_2018-em_recdev_1-iteration_7"
"Hake_2018","recdev_1","iteration_8","FALSE","1.22749038537343","Hake_2018-em_recdev_1-iteration_8"
"Hake_2018","recdev_1","iteration_9","FALSE","1.16231736739477","Hake_2018-em_recdev_1-iteration_9"
"Hake_2018","recdev_2","iteration_1","FALSE","1.19004943370819","Hake_2018-em_recdev_2-iteration_1"
"Hake_2018","recdev_2","iteration_10","FALSE","1.19715938568115","Hake_2018-em_recdev_2-iteration_10"
"Hake_2018","recdev_2","iteration_2","FALSE","1.14393700361252","Hake_2018-em_recdev_2-iteration_2"
"Hake_2018","recdev_2","iteration_3","FALSE","1.05915763378143","Hake_2018-em_recdev_2-iteration_3"
"Hake_2018","recdev_2","iteration_4","FALSE","1.24559388160706","Hake_2018-em_recdev_2-iteration_4"
"Hake_2018","recdev_2","iteration_5","FALSE","1.156374335289","Hake_2018-em_recdev_2-iteration_5"
"Hake_2018","recdev_2","iteration_6","FALSE","1.21332533359528","Hake_2018-em_recdev_2-iteration_6"
"Hake_2018","recdev_2","iteration_7","FALSE","1.08598768313726","Hake_2018-em_recdev_2-iteration_7"
"Hake_2018","recdev_2","iteration_8","FALSE","1.15335476795832","Hake_2018-em_recdev_2-iteration_8"
"Hake_2018","recdev_2","iteration_9","FALSE","1.25667178233465","Hake_2018-em_recdev_2-iteration_9"
"Hake_2018","recdev_3","iteration_1","FALSE","1.1747278491656","Hake_2018-em_recdev_3-iteration_1"
"Hake_2018","recdev_3","iteration_10","FALSE","1.22727549870809","Hake_2018-em_recdev_3-iteration_10"
"Hake_2018","recdev_3","iteration_2","FALSE","1.13086589972178","Hake_2018-em_recdev_3-iteration_2"
"Hake_2018","recdev_3","iteration_3","FALSE","1.07745626767476","Hake_2018-em_recdev_3-iteration_3"
"Hake_2018","recdev_3","iteration_4","FALSE","1.08456193208694","Hake_2018-em_recdev_3-iteration_4"
"Hake_2018","recdev_3","iteration_5","FALSE","1.17752856810888","Hake_2018-em_recdev_3-iteration_5"
"Hake_2018","recdev_3","iteration_6","FALSE","1.09046811660131","Hake_2018-em_recdev_3-iteration_6"
"Hake_2018","recdev_3","iteration_7","FALSE","1.246783999602","Hake_2018-em_recdev_3-iteration_7"
"Hake_2018","recdev_3","iteration_8","FALSE","1.10911790132523","Hake_2018-em_recdev_3-iteration_8"
"Hake_2018","recdev_3","iteration_9","FALSE","1.14184925158819","Hake_2018-em_recdev_3-iteration_9"
"Hake_2019_semi-parametric_selex","recdev_1","iteration_1","FALSE","1.19306090275447","Hake_2019_semi-parametric_selex-em_recdev_1-iteration_1"
"Hake_2019_semi-parametric_selex","recdev_1","iteration_10","FALSE","1.3650222659111","Hake_2019_semi-parametric_selex-em_recdev_1-iteration_10"
"Hake_2019_semi-parametric_selex","recdev_1","iteration_2","FALSE","1.1904998143514","Hake_2019_semi-parametric_selex-em_recdev_1-iteration_2"
"Hake_2019_semi-parametric_selex","recdev_1","iteration_3","FALSE","1.19650095303853","Hake_2019_semi-parametric_selex-em_recdev_1-iteration_3"
"Hake_2019_semi-parametric_selex","recdev_1","iteration_4","FALSE","1.10967338085175","Hake_2019_semi-parametric_selex-em_recdev_1-iteration_4"
"Hake_2019_semi-parametric_selex","recdev_1","iteration_5","FALSE","1.20235956509908","Hake_2019_semi-parametric_selex-em_recdev_1-iteration_5"
"Hake_2019_semi-parametric_selex","recdev_1","iteration_6","FALSE","1.3349670012792","Hake_2019_semi-parametric_selex-em_recdev_1-iteration_6"
"Hake_2019_semi-parametric_selex","recdev_1","iteration_7","FALSE","1.27443636655807","Hake_2019_semi-parametric_selex-em_recdev_1-iteration_7"
"Hake_2019_semi-parametric_selex","recdev_1","iteration_8","FALSE","1.22757736444473","Hake_2019_semi-parametric_selex-em_recdev_1-iteration_8"
