"","model","em","iteration","model_converged","model_runtime"
"127","Hake_2019_semi-parametric_selex","recdev_1","iteration_6","FALSE","1.3349670012792"
"128","Hake_2019_semi-parametric_selex","recdev_1","iteration_7","FALSE","1.27443636655807"
"129","Hake_2019_semi-parametric_selex","recdev_1","iteration_8","FALSE","1.22757736444473"
"130","Hake_2019_semi-parametric_selex","recdev_1","iteration_9","FALSE","1.40640174945196"
"131","Hake_2019_semi-parametric_selex","recdev_2","iteration_1","FALSE","1.13190540075302"
"132","Hake_2019_semi-parametric_selex","recdev_2","iteration_10","FALSE","1.32262130180995"
"133","Hake_2019_semi-parametric_selex","recdev_2","iteration_2","FALSE","1.34471048514048"
"134","Hake_2019_semi-parametric_selex","recdev_2","iteration_3","FALSE","1.04065611759822"
"135","Hake_2019_semi-parametric_selex","recdev_2","iteration_4","FALSE","1.21175715128581"
"136","Hake_2019_semi-parametric_selex","recdev_2","iteration_5","FALSE","1.1894680817922"
"137","Hake_2019_semi-parametric_selex","recdev_2","iteration_6","FALSE","1.14188371896744"
"138","Hake_2019_semi-parametric_selex","recdev_2","iteration_7","FALSE","1.19459023475647"
"139","Hake_2019_semi-parametric_selex","recdev_2","iteration_8","FALSE","1.27758136590322"
"140","Hake_2019_semi-parametric_selex","recdev_2","iteration_9","FALSE","1.11846524874369"
"141","Hake_2019_semi-parametric_selex","recdev_3","iteration_1","FALSE","1.29071386655172"
"142","Hake_2019_semi-parametric_selex","recdev_3","iteration_10","FALSE","1.28565483093262"
"143","Hake_2019_semi-parametric_selex","recdev_3","iteration_2","FALSE","1.00866860151291"
"144","Hake_2019_semi-parametric_selex","recdev_3","iteration_3","FALSE","1.28514784971873"
"145","Hake_2019_semi-parametric_selex","recdev_3","iteration_4","FALSE","1.17808905045191"
"146","Hake_2019_semi-parametric_selex","recdev_3","iteration_5","FALSE","1.10121598243713"
"147","Hake_2019_semi-parametric_selex","recdev_3","iteration_6","FALSE","1.2287167986234"
"148","Hake_2019_semi-parametric_selex","recdev_3","iteration_7","FALSE","1.20651956796646"
"149","Hake_2019_semi-parametric_selex","recdev_3","iteration_8","FALSE","1.14963428179423"
"150","Hake_2019_semi-parametric_selex","recdev_3","iteration_9","FALSE","1.27648796637853"
"151","platoons","recdev_1","iteration_1","TRUE","6.97634004751841"
"152","platoons","recdev_1","iteration_10","TRUE","7.11550336678823"
"153","platoons","recdev_1","iteration_2","TRUE","5.6093265692393"
"154","platoons","recdev_1","iteration_3","TRUE","4.71661665042241"
"155","platoons","recdev_1","iteration_4","TRUE","6.91781808535258"
"156","platoons","recdev_1","iteration_5","TRUE","4.53399026791255"
"157","platoons","recdev_1","iteration_6","TRUE","4.57958936691284"
"158","platoons","recdev_1","iteration_7","TRUE","7.14380766948064"
"159","platoons","recdev_1","iteration_8","TRUE","4.70747089783351"
"160","platoons","recdev_1","iteration_9","TRUE","4.47044858535131"
"161","platoons","recdev_2","iteration_1","TRUE","7.98120745023092"
